queryItem,stringId,ncbiTaxonId,taxonName,preferredName,annotation
OR2T4,ENSP00000355431,9606,Homo sapiens,OR2T4,Olfactory receptor 2T4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T11,ENSP00000492951,9606,Homo sapiens,OR2T11,Olfactory receptor 2T11; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10J5,ENSP00000334441,9606,Homo sapiens,OR10J5,Olfactory receptor 10J5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2AJ1,ENSP00000325078,9606,Homo sapiens,OR2AJ1,Olfactory receptor 2AJ1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2B11,ENSP00000492892,9606,Homo sapiens,OR2B11,Olfactory receptor 2B11; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10T2,ENSP00000334115,9606,Homo sapiens,OR10T2,Olfactory receptor 10T2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6P1,ENSP00000492936,9606,Homo sapiens,OR6P1,Olfactory receptor 6P1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10X1,ENSP00000485609,9606,Homo sapiens,OR10X1,Olfactory receptor 10X1; Odorant receptor.
OR10Z1,ENSP00000493003,9606,Homo sapiens,OR10Z1,Olfactory receptor 10Z1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6K6,ENSP00000357126,9606,Homo sapiens,OR6K6,Olfactory receptor 6K6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6N1,ENSP00000493254,9606,Homo sapiens,OR6N1,Olfactory receptor 6N1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9A4,ENSP00000493151,9606,Homo sapiens,OR9A4,Olfactory receptor 9A4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2Y1,ENSP00000312403,9606,Homo sapiens,OR2Y1,Olfactory receptor 2Y1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9A2,ENSP00000316518,9606,Homo sapiens,OR9A2,Olfactory receptor 9A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A14,ENSP00000493353,9606,Homo sapiens,OR2A14,Olfactory receptor 2A14; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6B1,ENSP00000492907,9606,Homo sapiens,OR6B1,Olfactory receptor 6B1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2F2,ENSP00000386222,9606,Homo sapiens,OR2F2,Olfactory receptor 2F2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13C5,ENSP00000363911,9606,Homo sapiens,OR13C5,Olfactory receptor 13C5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13C8,ENSP00000334068,9606,Homo sapiens,OR13C8,Olfactory receptor 13C8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13C3,ENSP00000363913,9606,Homo sapiens,OR13C3,Olfactory receptor 13C3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13C4,ENSP00000277216,9606,Homo sapiens,OR13C4,Olfactory receptor 13C4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13F1,ENSP00000334452,9606,Homo sapiens,OR13F1,Olfactory receptor 13F1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1L8,ENSP00000493411,9606,Homo sapiens,OR1L8,Olfactory receptor 1L8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1N2,ENSP00000483293,9606,Homo sapiens,OR1N2,Olfactory receptor 1N2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1N1,ENSP00000306974,9606,Homo sapiens,OR1N1,Olfactory receptor 1N1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52B4,ENSP00000485530,9606,Homo sapiens,OR52B4,Olfactory receptor 52B4; Odorant receptor.
OR52I2,ENSP00000308764,9606,Homo sapiens,OR52I2,Olfactory receptor 52I2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51E1,ENSP00000380155,9606,Homo sapiens,OR51E1,Olfactory receptor 51E1; Odorant receptor.
OR10A5,ENSP00000299454,9606,Homo sapiens,OR10A5,Olfactory receptor 10A5; Odorant receptor (Potential). May be involved in taste perception.
OR2AG1,ENSP00000493074,9606,Homo sapiens,OR2AG1,Olfactory receptor 2AG1; Odorant receptor.
OR6B3,ENSP00000493035,9606,Homo sapiens,OR6B3,Olfactory receptor 6B3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
GRK2,ENSP00000312262,9606,Homo sapiens,GRK2,"Beta-adrenergic receptor kinase 1; Specifically phosphorylates the agonist-occupied form of the beta-adrenergic and closely related receptors, probably inducing a desensitization of them. Key regulator of LPAR1 signaling. Competes with RALA for binding to LPAR1 thus affecting the signaling properties of the receptor. Desensitizes LPAR1 and LPAR2 in a phosphorylation- independent manner. Positively regulates ciliary smoothened (SMO)-dependent Hedgehog (Hh) signaling pathway by facilitating the trafficking of SMO into the cilium and the stimulation of SMO activity (By similarity). Belong [...] "
GRK3,ENSP00000317578,9606,Homo sapiens,GRK3,Beta-adrenergic receptor kinase 2; Specifically phosphorylates the agonist-occupied form of the beta-adrenergic and closely related receptors; Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. GPRK subfamily.
OR1Q1,ENSP00000297913,9606,Homo sapiens,OR1Q1,Olfactory receptor 1Q1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7D2,ENSP00000493200,9606,Homo sapiens,OR7D2,Olfactory receptor 7D2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
CALML6,ENSP00000304643,9606,Homo sapiens,CALML6,Calmodulin-like protein 6; Calmodulin like 6; Belongs to the calmodulin family. Calglandulin subfamily.
OR56B4,ENSP00000321196,9606,Homo sapiens,OR56B4,Olfactory receptor 56B4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8U1,ENSP00000304188,9606,Homo sapiens,OR8U1,Olfactory receptor 8U1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C16,ENSP00000485295,9606,Homo sapiens,OR4C16,Olfactory receptor 4C16; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C11,ENSP00000492971,9606,Homo sapiens,OR4C11,Olfactory receptor 4C11; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4S2,ENSP00000493389,9606,Homo sapiens,OR4S2,Olfactory receptor 4S2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C6,ENSP00000493334,9606,Homo sapiens,OR4C6,Olfactory receptor 4C6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5D14,ENSP00000334456,9606,Homo sapiens,OR5D14,Olfactory receptor 5D14; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5L1,ENSP00000485319,9606,Homo sapiens,OR5L1,Olfactory receptor 5L1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5D18,ENSP00000335025,9606,Homo sapiens,OR5D18,Olfactory receptor 5D18; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5AS1,ENSP00000493325,9606,Homo sapiens,OR5AS1,Olfactory receptor 5AS1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8K5,ENSP00000323853,9606,Homo sapiens,OR8K5,Olfactory receptor 8K5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5T2,ENSP00000323688,9606,Homo sapiens,OR5T2,Olfactory receptor 5T2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8H1,ENSP00000493316,9606,Homo sapiens,OR8H1,Olfactory receptor 8H1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8K3,ENSP00000493271,9606,Homo sapiens,OR8K3,Olfactory receptor 8K3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8J1,ENSP00000477259,9606,Homo sapiens,OR8J1,Olfactory receptor 8J1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5M3,ENSP00000493070,9606,Homo sapiens,OR5M3,Olfactory receptor 5M3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5M8,ENSP00000323354,9606,Homo sapiens,OR5M8,Olfactory receptor 5M8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5M11,ENSP00000432417,9606,Homo sapiens,OR5M11,Olfactory receptor 5M11; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5AR1,ENSP00000485240,9606,Homo sapiens,OR5AR1,Olfactory receptor 5AR1; Odorant receptor.
OR8B12,ENSP00000307159,9606,Homo sapiens,OR8B12,Olfactory receptor 8B12; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8G5,ENSP00000477014,9606,Homo sapiens,OR8G5,Olfactory receptor 8G5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10G8,ENSP00000389072,9606,Homo sapiens,OR10G8,Olfactory receptor 10G8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10G9,ENSP00000364164,9606,Homo sapiens,OR10G9,Olfactory receptor 10G9; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10S1,ENSP00000431914,9606,Homo sapiens,OR10S1,Olfactory receptor 10S1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6T1,ENSP00000325203,9606,Homo sapiens,OR6T1,Olfactory receptor 6T1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4D5,ENSP00000305970,9606,Homo sapiens,OR4D5,Olfactory receptor 4D5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6Q1,ENSP00000307734,9606,Homo sapiens,OR6Q1,Olfactory receptor 6Q1; Odorant receptor.
OR9I1,ENSP00000493370,9606,Homo sapiens,OR9I1,Olfactory receptor 9I1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9Q1,ENSP00000334934,9606,Homo sapiens,OR9Q1,Olfactory receptor 9Q1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9Q2,ENSP00000492924,9606,Homo sapiens,OR9Q2,Olfactory receptor 9Q2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1S2,ENSP00000305469,9606,Homo sapiens,OR1S2,Olfactory receptor 1S2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1S1,ENSP00000485156,9606,Homo sapiens,OR1S1,Olfactory receptor 1S1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10Q1,ENSP00000314324,9606,Homo sapiens,OR10Q1,Olfactory receptor 10Q1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5B17,ENSP00000349945,9606,Homo sapiens,OR5B17,Olfactory receptor 5B17; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5B21,ENSP00000353537,9606,Homo sapiens,OR5B21,Olfactory receptor 5B21; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5A2,ENSP00000492975,9606,Homo sapiens,OR5A2,Olfactory receptor 5A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5A1,ENSP00000493195,9606,Homo sapiens,OR5A1,Olfactory receptor 5A1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4D6,ENSP00000300127,9606,Homo sapiens,OR4D6,Olfactory receptor 4D6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4D11,ENSP00000320077,9606,Homo sapiens,OR4D11,Olfactory receptor 4D11; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52A1,ENSP00000369725,9606,Homo sapiens,OR52A1,Olfactory receptor 52A1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C74,ENSP00000342836,9606,Homo sapiens,OR6C74,Olfactory receptor 6C74; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C3,ENSP00000493034,9606,Homo sapiens,OR6C3,Olfactory receptor 6C3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T6,ENSP00000493366,9606,Homo sapiens,OR2T6,Olfactory receptor 2T6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1L4,ENSP00000259466,9606,Homo sapiens,OR1L4,Olfactory receptor 1L4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52B2,ENSP00000432011,9606,Homo sapiens,OR52B2,Olfactory receptor 52B2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C3,ENSP00000493096,9606,Homo sapiens,OR4C3,Olfactory receptor 4C3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4S1,ENSP00000321447,9606,Homo sapiens,OR4S1,Olfactory receptor 4S1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51F1,ENSP00000369744,9606,Homo sapiens,OR51F1,Olfactory receptor 51F1; Odorant receptor.
OR1C1,ENSP00000493457,9606,Homo sapiens,OR1C1,Olfactory receptor 1C1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1A2,ENSP00000371377,9606,Homo sapiens,OR1A2,Olfactory receptor 1A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2F1,ENSP00000485483,9606,Homo sapiens,OR2F1,Olfactory receptor 2F1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2B6,ENSP00000244623,9606,Homo sapiens,OR2B6,Olfactory receptor 2B6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1J4,ENSP00000343521,9606,Homo sapiens,OR1J4,Olfactory receptor 1J4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2M4,ENSP00000492992,9606,Homo sapiens,OR2M4,Olfactory receptor 2M4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2L2,ENSP00000493410,9606,Homo sapiens,OR2L2,Olfactory receptor 2L2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2K2,ENSP00000305055,9606,Homo sapiens,OR2K2,Olfactory receptor 2K2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7A17,ENSP00000493283,9606,Homo sapiens,OR7A17,Olfactory receptor 7A17; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5L2,ENSP00000367650,9606,Homo sapiens,OR5L2,Olfactory receptor 5L2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5K1,ENSP00000493267,9606,Homo sapiens,OR5K1,Olfactory receptor 5K1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5H1,ENSP00000492953,9606,Homo sapiens,OR5H1,Olfactory receptor 5H1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10J1,ENSP00000492902,9606,Homo sapiens,OR10J1,Olfactory receptor 10J1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8B8,ENSP00000493014,9606,Homo sapiens,OR8B8,Olfactory receptor 8B8; Odorant receptor (Potential). May be involved in taste perception.
OR8G1,ENSP00000493289,9606,Homo sapiens,OR8G1,Olfactory receptor 8G1; Odorant receptor.
OR10A3,ENSP00000493303,9606,Homo sapiens,OR10A3,Olfactory receptor 10A3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10D3,ENSP00000493231,9606,Homo sapiens,OR10D3,Putative olfactory receptor 10D3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR12D2,ENSP00000485112,9606,Homo sapiens,OR12D2,Olfactory receptor 12D2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR11A1,ENSP00000366354,9606,Homo sapiens,OR11A1,Olfactory receptor 11A1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10H3,ENSP00000493287,9606,Homo sapiens,OR10H3,Olfactory receptor 10H3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10G3,ENSP00000492973,9606,Homo sapiens,OR10G3,Olfactory receptor 10G3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10G2,ENSP00000445383,9606,Homo sapiens,OR10G2,Olfactory receptor 10G2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10H2,ENSP00000306095,9606,Homo sapiens,OR10H2,Olfactory receptor 10H2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10H1,ENSP00000493436,9606,Homo sapiens,OR10H1,Olfactory receptor 10H1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8B2,ENSP00000493235,9606,Homo sapiens,OR8B2,Olfactory receptor 8B2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7E24,ENSP00000387523,9606,Homo sapiens,OR7E24,Olfactory receptor 7E24; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7C2,ENSP00000248072,9606,Homo sapiens,OR7C2,Olfactory receptor 7C2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7A5,ENSP00000316955,9606,Homo sapiens,OR7A5,Olfactory receptor 7A5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7C1,ENSP00000493026,9606,Homo sapiens,OR7C1,Olfactory receptor 7C1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4F3,ENSP00000394282,9606,Homo sapiens,OR4F3,Olfactory receptor family 4 subfamily F member 3.
OR4E2,ENSP00000493386,9606,Homo sapiens,OR4E2,Olfactory receptor 4E2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4E1,ENSP00000493111,9606,Homo sapiens,OR4E1,Olfactory receptor 4E1; Odorant receptor.
OR4D1,ENSP00000493234,9606,Homo sapiens,OR4D1,Olfactory receptor 4D1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2W1,ENSP00000366380,9606,Homo sapiens,OR2W1,Olfactory receptor 2W1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2V1,ENSP00000492958,9606,Homo sapiens,OR2V1,Olfactory receptor 2V1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T1,ENSP00000355430,9606,Homo sapiens,OR2T1,Olfactory receptor 2T1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2J2,ENSP00000493401,9606,Homo sapiens,OR2J2,Olfactory receptor 2J2; Odorant receptor.
OR2H1,ENSP00000366340,9606,Homo sapiens,OR2H1,Olfactory receptor 2H1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1L3,ENSP00000302863,9606,Homo sapiens,OR1L3,Olfactory receptor 1L3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1L1,ENSP00000310773,9606,Homo sapiens,OR1L1,Olfactory receptor 1L1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1J2,ENSP00000335575,9606,Homo sapiens,OR1J2,Olfactory receptor 1J2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
GNAL,ENSP00000334051,9606,Homo sapiens,GNAL,"Guanine nucleotide-binding protein G(olf) subunit alpha; Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. G(olf) alpha mediates signal transduction within the olfactory neuroepithelium and the basal ganglia. May be involved in some aspect of visual transduction, and in mediating the effect of one or more hormones/neurotransmitters."
